id,00:1A:70:F0:9C:4F,00:C0:23:B6:51:03,00:80:48:51:e8:52,00:03:52:8b:8d:10,00:C0:23:B6:51:00,00:C0:23:B6:50:92,00:03:52:8b:2a:60,00:1e:e5:f7:29:df,00:03:52:8B:53:F4,00:03:52:8B:53:F3,00:03:52:8B:53:F2,00:03:52:8B:53:F1,00:c0:23:6b:c5:f0,00:80:48:51:E8:52,40:4a:03:de:74:a0,00:C0:23:B6:51:01,00:03:52:8b:85:00,00:24:B2:37:35:3E,00:03:52:8B:2C:E1,00:03:52:8B:2C:E0,00:03:52:8B:2C:E3,00:03:52:8B:2C:E2,00:C0:23:B6:0E:11,00:03:52:8B:2C:E4,00:C0:23:B6:4F:C0,00:C0:23:B6:0E:12,00:c0:23:b6:51:00,00:03:52:94:5D:81,00:03:52:94:5D:80,00:03:52:94:5D:83,00:03:52:94:5D:82,00:03:52:94:5D:84,00:1B:63:2D:5E:F9,00:03:52:8b:89:10,00:0F:61:B8:1C:33,00:0F:61:B8:1C:31,00:0F:61:B8:1C:30,00:1a:70:f0:9c:4f,00:24:b2:37:35:3e,00:03:52:8B:8B:61,00:03:52:8B:8B:60,00:03:52:8B:8B:63,00:03:52:8B:8B:62,00:03:52:8B:8B:64,00:A0:F8:C3:BD:30,00:1E:E5:F7:29:DF,00:03:52:8B:85:04,00:03:52:8B:85:02,00:03:52:8B:85:03,00:03:52:8B:85:00,00:03:52:8B:85:01,1e:a1:e7:08:c2:b8,00:03:52:8b:2c:e0,00:03:52:8B:87:24,00:03:52:8B:87:22,00:03:52:8B:87:23,00:03:52:8B:87:20,00:03:52:8B:87:21,00:03:52:94:5d:80,40:4A:03:DE:CD:FE,00:24:7B:10:EE:60,00:1e:e5:f6:f6:ed,00:C0:23:B6:4A:32,00:C0:23:B6:4A:30,00:03:52:8B:2E:A4,00:03:52:8B:2E:A3,00:03:52:8B:2E:A2,00:03:52:8B:2E:A1,00:03:52:8B:2E:A0,00:C0:23:6B:C5:F1,00:C0:23:6B:C5:F0,00:03:52:8B:53:F0,00:15:70:A5:B9:30,00:03:52:8B:5F:64,d2:6b:9a:ad:b7:85,00:03:52:8b:2e:a0,00:03:52:8B:8D:12,00:03:52:8B:8D:13,00:03:52:8B:8D:10,00:03:52:8B:8D:11,00:03:52:8B:8D:14,00:03:52:8a:e8:70,00:03:52:8B:8C:E3,00:03:52:8B:8C:E2,00:03:52:8B:8C:E1,00:03:52:8B:8C:E0,00:A0:F8:DD:17:2A,00:03:52:8B:8C:E4,5C:0E:8B:13:40:E0,00:03:52:8b:24:c0,00:03:52:8B:37:61,00:03:52:8B:37:60,00:03:52:8B:37:63,00:03:52:8B:37:62,00:03:52:8B:37:64,00:03:52:8b:87:50,00:24:01:e0:d1:7d,00:A0:F8:C3:BD:75,1E:A1:E7:08:C2:B8,00:03:52:8B:24:C4,00:03:52:8B:24:C2,00:03:52:8B:24:C3,00:03:52:8B:24:C0,00:03:52:8B:24:C1,00:03:52:8B:2A:62,00:03:52:8B:2A:63,00:03:52:8B:2A:60,00:03:52:8B:2A:61,00:03:52:8B:2A:64,00:03:52:8B:32:D2,40:4A:03:DE:74:A0,00:03:52:8f:73:00,00:C0:23:B6:0E:13,00:03:52:8b:8b:60,00:C0:23:B6:4F:C1,00:C0:23:B7:8C:F3,00:C0:23:B7:8C:F1,00:C0:23:B7:8C:F0,00:80:48:51:e8:74,00:24:7b:10:ee:60,00:03:52:8b:5f:60,40:4a:03:de:cd:fe,00:03:52:8B:87:54,00:03:52:8B:87:53,00:03:52:8B:87:52,00:03:52:8B:87:51,00:03:52:8B:87:50,00:80:48:51:E8:74,00:c0:23:b6:61:b0,00:24:01:E0:D1:7D,00:C0:23:B6:51:02,00:c0:23:b6:52:40,00:C0:23:B6:61:B3,00:C0:23:B6:61:B0,00:03:52:8b:87:20,00:03:52:8F:73:04,00:03:52:8F:73:03,00:03:52:8F:73:02,00:03:52:8F:73:01,00:03:52:8F:73:00,00:03:52:8B:5F:60,00:03:52:8B:5F:61,00:03:52:8B:5F:62,00:03:52:8B:5F:63,00:03:52:8A:E8:72,00:03:52:8A:E8:70,00:03:52:8A:E8:71,00:03:52:8B:29:40,00:03:52:8B:29:41,00:03:52:8B:29:42,00:03:52:8B:29:43,00:03:52:8B:29:44,5C:0E:8B:13:B7:40,00:03:52:8b:53:f0,00:C0:23:B6:50:90,00:C0:23:B6:0E:10,00:1E:E5:F6:F6:ED,00:03:52:8b:8c:e0,00:C0:23:B6:58:91,00:c0:23:b7:8c:f0
0,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-90,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-86,-86,-86,-81,-95,-95,-95,-95,-95,-95,-95,-95,-81,-82,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-67,-64,-67,-67,-64,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-48,-95,-95,-95,-95,-95,-95,-95,-73,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-81,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
1,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-75,-73,-73,-72,-95,-75,-95,-95,-95,-77,-74,-77,-75,-76,-63,-95,-95,-95,-95,-95,-95,-84,-54,-86,-87,-86,-95,-62,-95,-95,-95,-95,-95,-95,-95,-71,-75,-69,-74,-73,-95,-68,-95,-95,-95,-95,-56,-54,-56,-59,-58,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-63,-95,-95,-95,-95,-63,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-65,-67,-95,-65,-95,-69,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-66,-68,-95,-51,-95,-95,-79,-95,-95,-95,-95,-95,-95,-95,-95,-95,-59,-95,-95,-95,-95,-95,-60,-95,-95,-95,-95,-95,-95,-86,-95,-95,-95,-85,-95,-95,-95
2,-95,-95,-95,-86,-95,-95,-90,-88,-95,-95,-95,-95,-95,-95,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-89,-95,-95,-95,-95,-95,-95,-84,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-74,-85,-95,-95,-95,-95,-95,-81,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-82,-95,-95,-95,-95,-95,-82,-95,-95,-95,-95,-95,-95,-95,-83,-95,-95,-95,-95,-95,-81,-88,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-77,-95,-89,-95,-95,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-89,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-89,-95,-95,-95,-58,-95,-95
3,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-82,-95,-95,-95,-95,-95,-95,-95,-84,-95,-67,-95,-95,-80,-95,-95,-95,-95,-95,-95,-95,-95,-78,-84,-87,-79,-95,-55,-95,-95,-95,-95,-74,-78,-80,-77,-75,-95,-95,-95,-95,-95,-95,-95,-77,-77,-75,-74,-82,-95,-62,-64,-63,-64,-95,-63,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-77,-78,-81,-74,-85,-85,-87,-95,-90,-95,-49,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-77,-78,-77,-77,-78,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-37,-95,-95,-95,-95,-95,-80,-95,-95,-95,-95,-95,-95,-87,-95,-95,-95,-84,-95,-95,-95
4,-95,-95,-82,-83,-95,-95,-81,-95,-95,-95,-95,-95,-95,-95,-83,-95,-78,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-62,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-90,-95,-95,-95,-95,-95,-95,-83,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-89,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-70,-95,-95,-95,-95,-95,-95,-58,-95,-52,-85,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-88,-95,-95
5,-95,-95,-85,-84,-95,-95,-87,-95,-95,-95,-95,-95,-95,-95,-59,-95,-80,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-75,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-82,-95,-95,-95,-95,-95,-95,-80,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-63,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-61,-95,-95,-95,-95,-95,-95,-81,-85,-79,-64,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-87,-95,-95
6,-64,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-84,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-76,-76,-73,-76,-73,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-72,-70,-70,-81,-71,-95,-95,-95,-95,-95,-95,-95,-95,-76,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-77,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-27,-28,-28,-29,-29,-95,-95,-95,-95,-95,-95,-67,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-76,-95,-95,-95,-95,-95,-95,-95,-74,-74,-73,-74,-73,-78,-76,-76,-76,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
7,-56,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-84,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-70,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-47,-95,-95,-95,-95,-95,-95,-92,-95,-95,-75,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-50,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-81,-56,-89,-57,-57,-59,-84,-83,-74,-95,-68,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-70,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-75,-52,-50,-47,-48,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
8,-95,-95,-95,-85,-95,-95,-89,-85,-95,-95,-95,-95,-95,-95,-55,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-95,-95,-95,-95,-95,-95,-95,-95,-69,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-78,-95,-95,-95,-95,-95,-82,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-85,-78,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-36,-95,-83,-95,-95,-95,-95,-95,-95,-95,-60,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-88,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-71,-95,-95
9,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-71,-64,-79,-71,-95,-68,-95,-95,-95,-95,-95,-95,-95,-95,-52,-95,-95,-95,-95,-95,-95,-95,-56,-95,-95,-95,-95,-75,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-78,-75,-95,-61,-95,-95,-95,-95,-71,-61,-61,-62,-58,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-52,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-73,-95,-95,-95,-95,-95,-95,-95,-72,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-66,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-39,-95,-95,-95,-95,-95,-70,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
