timestamp,00:03:52:8B:24:C0,00:03:52:8B:53:F4,00:03:52:8B:53:F3,00:03:52:8B:53:F2,00:03:52:8B:53:F1,00:03:52:8B:53:F0,00:80:48:51:E8:52,1E:A1:E7:08:C2:B8,00:03:52:8B:2C:E0,00:03:52:8B:2C:E3,00:03:52:8B:2C:E2,00:03:52:8B:2C:E4,00:03:52:94:5D:81,00:03:52:94:5D:80,00:03:52:94:5D:83,00:03:52:94:5D:82,00:03:52:94:5D:84,00:1B:63:2D:5E:F9,00:03:52:8B:8B:61,00:03:52:8B:8B:60,00:03:52:8B:8B:63,00:03:52:8B:8B:62,00:03:52:8B:8B:64,00:1E:E5:F7:29:DF,00:03:52:8B:85:04,00:03:52:8B:85:02,00:03:52:8B:85:03,00:03:52:8B:85:00,00:03:52:8B:85:01,00:03:52:8B:87:24,00:03:52:8B:87:22,00:03:52:8B:87:23,00:03:52:8B:87:20,00:03:52:8B:87:21,00:24:7B:10:EE:60,26:AB:81:D1:88:73,00:03:52:8B:2E:A4,00:03:52:8B:2E:A3,00:03:52:8B:2E:A2,00:03:52:8B:2E:A1,00:03:52:8B:2E:A0,00:A0:F8:C3:BF:5A,00:03:52:8A:E8:72,00:03:52:8B:8D:12,00:03:52:8B:8D:13,00:03:52:8B:8D:10,00:03:52:8B:8D:11,00:03:52:8B:8D:14,00:03:52:8B:8C:E3,00:03:52:8B:8C:E2,00:03:52:8B:8C:E1,00:03:52:8B:8C:E0,00:A0:F8:DD:17:2A,00:03:52:8B:8C:E4,5C:0E:8B:13:40:E0,00:03:52:8B:37:61,00:03:52:8B:37:60,00:03:52:8B:37:63,00:03:52:8B:37:62,00:03:52:8B:37:64,00:A0:F8:C3:BD:75,00:03:52:8B:2C:E1,00:03:52:8B:24:C4,00:03:52:8B:24:C2,00:03:52:8B:24:C3,00:1A:70:F0:9C:4F,00:03:52:8B:24:C1,00:03:52:8B:2A:62,00:03:52:8B:2A:63,00:03:52:8B:2A:60,00:03:52:8B:2A:61,00:03:52:8B:2A:64,40:4A:03:DE:74:A0,00:03:52:8B:87:54,00:03:52:8B:87:53,00:03:52:8B:87:52,00:03:52:8B:87:51,00:03:52:8B:87:50,00:80:48:51:E8:74,00:24:01:E0:D1:7D,00:03:52:8F:73:04,00:03:52:8F:73:03,00:03:52:8F:73:02,00:03:52:8F:73:01,00:03:52:8F:73:00,00:03:52:8B:5F:60,00:03:52:8B:5F:61,00:03:52:8B:5F:62,00:03:52:8B:5F:63,00:03:52:8B:5F:64,00:03:52:8A:E8:70,00:03:52:8A:E8:71,00:03:52:8B:29:40,00:03:52:8B:29:41,00:03:52:8B:29:42,00:03:52:8B:29:43,00:03:52:8B:29:44,5C:0E:8B:13:B7:40,00:1E:E5:F6:F6:ED
768,-87,-95,-95,-95,-95,-95,-46,-88,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-84,-87,-81,-84,-90,-84,-91,-79,-93,-87,-66,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-89,-95,-95,-95,-95,-95,-78,-95,-95,-95,-95,-95,-95,-95,-87,-86,-87,-80,-86,-77,-82,-95,-95,-95,-95,-95,-95,-95,-95,-95,-55,-95,-95,-95,-95,-95,-95,-64,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
215,-42,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-71,-73,-72,-73,-69,-95,-95,-95,-95,-95,-95,-95,-61,-59,-63,-63,-89,-90,-89,-91,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-80,-95,-95,-84,-86,-86,-87,-95,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-66,-95,-95,-95,-84,-95,-95,-66,-95,-95,-95,-95,-95,-83,-95,-95,-95,-95,-95,-69,-72,-68,-71,-71,-71,-95,-95,-95,-95,-95,-95,-95,-95,-95
212,-47,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-71,-73,-72,-73,-69,-95,-95,-95,-95,-95,-95,-95,-72,-70,-69,-63,-70,-90,-91,-90,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-80,-95,-95,-84,-86,-86,-87,-95,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-54,-95,-79,-95,-84,-95,-95,-66,-95,-95,-95,-95,-95,-78,-95,-95,-95,-95,-95,-69,-67,-68,-69,-69,-69,-95,-95,-95,-95,-95,-95,-95,-91,-95
819,-85,-95,-95,-95,-95,-95,-76,-81,-95,-95,-95,-95,-87,-87,-86,-87,-87,-88,-95,-95,-95,-95,-95,-95,-64,-64,-81,-63,-67,-67,-67,-68,-71,-67,-95,-80,-95,-95,-95,-95,-95,-95,-95,-95,-95,-90,-95,-95,-75,-95,-95,-70,-95,-95,-87,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-55,-95,-78,-82,-65,-77,-84,-92,-95,-95,-95,-95,-95,-52,-95,-95,-95,-95,-95,-95,-49,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
669,-62,-95,-95,-95,-95,-95,-86,-91,-95,-95,-95,-95,-75,-73,-75,-78,-77,-95,-95,-95,-95,-95,-95,-95,-57,-64,-64,-56,-65,-88,-87,-87,-91,-88,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-87,-84,-86,-86,-86,-84,-84,-87,-95,-86,-89,-95,-95,-95,-95,-95,-95,-95,-60,-61,-60,-57,-60,-87,-86,-85,-85,-87,-71,-95,-95,-95,-95,-95,-74,-95,-66,-76,-76,-66,-70,-47,-90,-95,-89,-95,-95,-95,-95,-95,-95,-95,-95,-92,-95
762,-86,-95,-95,-95,-95,-95,-40,-88,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-87,-95,-95,-88,-95,-89,-88,-92,-92,-93,-95,-45,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-95,-89,-95,-95,-95,-95,-95,-84,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-88,-95,-95,-88,-95,-95,-89,-95,-95,-95,-95,-95,-95,-57,-95,-95,-95,-95,-95,-95,-70,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
666,-61,-95,-95,-95,-95,-95,-89,-91,-95,-95,-95,-95,-75,-73,-75,-78,-77,-95,-95,-95,-95,-95,-95,-95,-57,-58,-57,-57,-58,-88,-87,-88,-87,-87,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-87,-84,-86,-86,-89,-95,-91,-89,-95,-89,-89,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-46,-95,-84,-85,-84,-86,-84,-84,-95,-95,-95,-95,-95,-72,-95,-66,-76,-76,-66,-70,-51,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-92,-95
127,-95,-88,-86,-91,-91,-90,-53,-86,-95,-95,-95,-95,-88,-89,-91,-88,-92,-95,-95,-95,-95,-95,-95,-95,-87,-87,-87,-75,-95,-87,-86,-89,-95,-89,-89,-76,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-78,-95,-95,-95,-95,-95,-86,-95,-80,-95,-86,-82,-95,-80,-82,-82,-82,-83,-95,-95,-95,-95,-95,-95,-83,-95,-95,-95,-95,-95,-95,-59,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-95,-95
661,-52,-95,-95,-95,-95,-95,-88,-90,-95,-95,-95,-95,-75,-78,-75,-78,-77,-95,-95,-95,-95,-95,-95,-95,-63,-58,-61,-60,-61,-86,-88,-88,-90,-87,-88,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-77,-95,-95,-95,-95,-95,-95,-95,-95,-88,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-49,-95,-82,-83,-82,-83,-80,-81,-95,-95,-95,-95,-95,-78,-95,-66,-66,-66,-66,-70,-57,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-92,-95
765,-86,-95,-95,-95,-95,-95,-43,-89,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-84,-86,-84,-84,-90,-88,-91,-88,-93,-95,-74,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-95,-89,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-76,-95,-95,-88,-95,-95,-89,-95,-95,-95,-95,-95,-95,-51,-95,-95,-95,-95,-95,-95,-66,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
